District,district_name,productivity_index,nic3_code,nic3_name,rank
2731,Satara,53.350021,243,Casting of metals,9
2731,Satara,52.788929,261,Manufacture of electronic components,10
2732,Ratnagiri,177.44435,872,"Residential care activities for mental retardation, mental health …",1
2732,Ratnagiri,98.224785,202,Manufacture of other chemical products,2
2732,Ratnagiri,92.773476,151,"Tanning and dressing of leather; manuf. of luggage, handbags, …",3
2732,Ratnagiri,69.541367,210,"Manufacture of pharmaceuticals, medicinal chemical …",4
2732,Ratnagiri,63.702847,783,"Human resources provision, management of human resources func.",5
2732,Ratnagiri,42.435623,264,Manufacture of consumer electronics,6
2732,Ratnagiri,40.316238,491,Transport via railways,7
2732,Ratnagiri,34.297638,201,"Manufacture of basic chemicals, fertilizer …",8
2732,Ratnagiri,33.940075,89,Mining and quarrying n.e.c.,9
2732,Ratnagiri,30.659121,421,Construction of roads and railways,10
2733,Sindhudurg,53.989716,221,Manufacture of rubber products,1
2733,Sindhudurg,43.145329,721,"Research  and  experimental  dev.  on natural sci. , engineering",2
2733,Sindhudurg,41.632599,353,Steam and air conditioning supply,3
2733,Sindhudurg,38.015717,522,Support activities for transportation,4
2733,Sindhudurg,36.628422,872,"Residential care activities for mental retardation, mental health …",5
2733,Sindhudurg,27.138445,491,Transport via railways,6
2733,Sindhudurg,23.387518,782,Temporary employment agency activities,7
2733,Sindhudurg,18.83473,273,Manufacture of wiring and wiring devices,8
2733,Sindhudurg,14.993754,332,Installation of industrial machinery and equipment,9
2733,Sindhudurg,14.339179,89,Mining and quarrying n.e.c.,10
2734,Kolhapur,148.83865,291,Manufacture of motor vehicles,1
2734,Kolhapur,42.792526,243,Casting of metals,2
2734,Kolhapur,38.600193,275,Manufacture of domestic appliances,3
2734,Kolhapur,38.012371,353,Steam and air conditioning supply,4
2734,Kolhapur,35.0704,91,Support activities for petroleum and natural gas mining,5
2734,Kolhapur,34.96241,241,Manufacture of basic iron and steel,6
2734,Kolhapur,27.02627,231,Manufacture of glass and glass products,7
2734,Kolhapur,23.051863,582,Software publishing,8
2734,Kolhapur,17.638653,293,Manufacture of parts and accessories for motor vehicles,9
2734,Kolhapur,17.024664,210,"Manufacture of pharmaceuticals, medicinal chemical …",10
2735,Sangli,49.269947,473,Retail sale of automotive fuel in specialized stores,1
2735,Sangli,29.441082,469,Non-specialized wholesale trade,2
2735,Sangli,28.425337,108,Manufacture of prepared animal feeds,3
2735,Sangli,27.767975,293,Manufacture of parts and accessories for motor vehicles,4
2735,Sangli,18.420298,243,Casting of metals,5
2735,Sangli,17.368423,107,Manufacture of other food products,6
2735,Sangli,15.588585,352,Manufacture of gas; distribution of gaseous fuels through mains,7
2735,Sangli,15.498966,881,"Social work activities without accom. for the elderly, disabled",8
2735,Sangli,15.298039,351,"Electric power generation, transmission and distribution",9
2735,Sangli,14.759429,131,"Spinning, weaving and finishing of textiles",10
